ZE,ENDEREÇO,BAIRRO,CIDADE,Address,Latitude,Longitude
131,"AV. LUCAS EVANGELISTA DE OLIVEIRA FRANCO, 437 (ANTIGO FÓRUM)",ATERRADO,VOLTA REDONDA,"AV. LUCAS EVANGELISTA DE OLIVEIRA FRANCO, 437 (ANTIGO FÓRUM)	ATERRADO	VOLTA REDONDA",-22.505322,-44.085399
132,"RUA FELICIANO SODRÉ, 153",CENTRO,SÃO GONÇALO,"RUA FELICIANO SODRÉ, 153	CENTRO	SÃO GONÇALO",-22.824051,-43.048514
133,"RUA EDUARDO VIEIRA DE SOUZA, 112",CENTRO,SÃO GONÇALO,"RUA EDUARDO VIEIRA DE SOUZA, 112	CENTRO	SÃO GONÇALO",-22.824269,-43.044633
135,RUA FELICIANO SODRE 153 - 2 ANDAR,CENTRO,SÃO GONÇALO,RUA FELICIANO SODRE 153 - 2 ANDAR	CENTRO	SÃO GONÇALO,-22.824051,-43.048514
138,RUA FELIX 1561,FANCHEM,QUEIMADOS,RUA FELIX 1561	FANCHEM	QUEIMADOS,-22.710936,-43.561005
139,RUA JOAO BATISTA EVANGELISTA S/N - CENTRO DE ENGENHEIRO PEDREIRA,ENGENHEIRO PEDREIRA,JAPERI,RUA JOAO BATISTA EVANGELISTA S/N - CENTRO DE ENGENHEIRO PEDREIRA	ENGENHEIRO PEDREIRA	JAPERI,FAILED,FAILED
141,"RUA ARISTIDES GONCALVES DE SOUZA, 83",SAO CAETANO,ITALVA,"RUA ARISTIDES GONCALVES DE SOUZA, 83	SAO CAETANO	ITALVA",-21.432928,-41.697166
144,RUA VISCONDE DE SEPETIBA 987 - 3 ANDAR - FUNDOS,CENTRO,NITERÓI,RUA VISCONDE DE SEPETIBA 987 - 3 ANDAR - FUNDOS	CENTRO	NITERÓI,FAILED,FAILED
146,RUA MARECHAL FLORIANO PEIXOTO 40,PRAIA DOS ANJOS,ARRAIAL DO CABO,RUA MARECHAL FLORIANO PEIXOTO 40	PRAIA DOS ANJOS	ARRAIAL DO CABO,-22.969849,-42.024133
147,"RUA ARCEBISPO SANTOS, S/N",SAO BENTO,ANGRA DOS REIS,"RUA ARCEBISPO SANTOS, S/N	SAO BENTO	ANGRA DOS REIS",FAILED,FAILED
148,"RUA MÁRIO DE BRITO, 129 - LOJA 3 - PIABETÁ",PIABETÁ,MAGÉ,"RUA MÁRIO DE BRITO, 129 - LOJA 3 - PIABETÁ	PIABETÁ	MAGÉ",-22.609164,-43.17827
149,"ESTRADA DO BANANAL, 2336, LJS. 1 E 2",BANANAL,GUAPIMIRIM,"ESTRADA DO BANANAL, 2336, LJS. 1 E 2	BANANAL	GUAPIMIRIM",FAILED,FAILED
150,"RUA PARANA N 1, 3 ANDAR - MESQUITA",CENTRO,MESQUITA,"RUA PARANA N 1, 3 ANDAR - MESQUITA	CENTRO	MESQUITA",-22.782613,-43.430494
151,"RUA DESEMBARGADOR FERREIRA PINTO, 9, CENTRO, ITABORAÍ",CENTRO,ITABORAÍ,"RUA DESEMBARGADOR FERREIRA PINTO, 9, CENTRO, ITABORAÍ	CENTRO	ITABORAÍ",-22.741962,-42.855761
152,"RUA URUGUAI, 51",CENTRO,BELFORD ROXO,"RUA URUGUAI, 51	CENTRO	BELFORD ROXO",-22.762898,-43.404961
